"Domain (Punycode)","Extension (Punycode)","Category","Paid Until","Term","Expiration","Duration","Status","Private","Trustee/Proxy","Auto Renew","Web forwarding",
"MYRA.MOBI",".MOBI","Mobile Phones","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.JOBS",".JOBS","Generic Domains","2026-12-21","1 Year","2026-12-21",12,"Active","No","No","Yes","",
"MYRA.SERVICES",".SERVICES","Services Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.EQUIPMENT",".EQUIPMENT","Industry Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.IST",".IST","IST Istanbul, Turkey","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.LIFE",".LIFE","Lifestyle Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.LTD",".LTD",".LTD Limited Company","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.LINK",".LINK","Web Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.WEBSITE",".WEBSITE","Web Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.SHOP",".SHOP","Commerce Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.SUCKS",".SUCKS","Generic Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.BLOG",".BLOG","Web Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.SECURITY",".SECURITY","Services Domains","2026-12-05","1 Year","2026-12-05",12,"Active","No","No","Yes","",
"MYRA.EU",".EU","Europe","2028-07-13","3 Years","2028-07-13",36,"Active","No","No","Yes","",
"PROTECTED-BY-MYRA.DE",".DE","Germany","2027-01-12","1 Year","2027-01-12",12,"Active","No","No","Yes","",
"PROTECTED-BY-MYRA.COM",".COM","Generic","2027-01-12","1 Year","2027-01-12",12,"Active","No","No","Yes","",
"MYRASECURITY.BE",".BE","Belgium","2027-01-31","1 Year","2027-01-31",12,"Active","No","No","Yes","",
"MYRASECURITY.DK",".DK","Denmark","2027-01-11","1 Year","2027-01-11",12,"Active","No","No","Yes","",
"MYRASECURITY.FR",".FR","France","2027-01-12","1 Year","2027-01-12",12,"Active","No","No","Yes","",
"MYRASECURITY.LU",".LU","Luxembourg","2027-01-10","1 Year","2027-01-10",12,"Active","No","No","Yes","",
"MYRASECURITY.NL",".NL","Netherlands","2027-01-10","1 Year","2027-01-10",12,"Active","No","No","Yes","",
"MYRASECURITY.AT",".AT","Austria","2027-01-09","1 Year","2027-01-09",12,"Active","No","No","Yes","",
"MYRASECURITY.PL",".PL","Poland","2027-01-12","1 Year","2027-01-12",12,"Active","No","No","Yes","",
"MYRASECURITY.PT",".PT","Portugal","2027-01-13","1 Year","2027-01-13",12,"Active","No","No","Yes","",
"MYRASECURITY.FI",".FI","Finland","2027-01-13","1 Year","2027-01-13",12,"Active","No","No","Yes","",
"MYRASECURITY.SE",".SE","Sweden","2027-03-03","1 Year","2027-03-03",12,"Active","No","No","Yes","",
"MYRASECURITY.SG",".SG","Singapore","2027-01-14","1 Year","2027-01-14",12,"Active","No","Yes","Yes","",
"MYRASECURITY.CH",".CH","Switzerland","2027-01-12","1 Year","2027-01-12",12,"Active","No","No","Yes","",
"MYRA.CHAT",".CHAT","Web Domains","2027-04-05","1 Year","2027-04-05",12,"Active","No","No","Yes","",
"MYRA.VIDEO",".VIDEO","Media Domains","2026-11-30","1 Year","2026-11-30",12,"Active","No","No","Yes","",
"MYRADNS.IO",".IO","British Indian Ocean Territory","2027-04-27","1 Year","2027-04-27",12,"Active","No","No","Yes","",
"MYRA-ACADEMY.COM",".COM","Generic","2027-05-03","1 Year","2027-05-03",12,"Active","No","No","Yes","",
"MYRASECURITY.HK",".HK","Hong Kong","2026-06-23","1 Year","2026-06-23",12,"Active","No","No","Yes","",
"MYRA-CORE.ORG",".ORG","Generic","2027-05-25","1 Year","2027-05-25",12,"Active","No","No","Yes","",
"MYRACORE.ORG",".ORG","Generic","2027-05-25","1 Year","2027-05-25",12,"Active","No","No","Yes","",
"MYRACDN.ORG",".ORG","Generic","2026-09-10","1 Year","2026-09-10",12,"Active","No","No","Yes","",
"MYRAONE.ORG",".ORG","Generic","2027-05-25","1 Year","2027-05-25",12,"Active","No","No","Yes","",
"MYRASECURITY.ORG",".ORG","Generic","2026-11-06","1 Year","2026-11-06",12,"Active","No","No","Yes","",
"MYRACORE.UK",".UK","United Kingdom","2027-05-25","1 Year","2027-05-25",12,"Active","No","No","Yes","",
"MYRA-CORE.UK",".UK","United Kingdom","2027-05-25","1 Year","2027-05-25",12,"Active","No","No","Yes","",
"MYRA-ONE.UK",".UK","United Kingdom","2027-05-25","1 Year","2027-05-25",12,"Active","No","No","Yes","",
"MYRA-CORE.NL",".NL","Netherlands","2026-08-08","1 Year","2026-08-08",12,"Active","No","No","Yes","",
"MYRACORE.NL",".NL","Netherlands","2026-08-08","1 Year","2026-08-08",12,"Active","No","No","Yes","",
"MYRA-ONE.NL",".NL","Netherlands","2026-08-08","1 Year","2026-08-08",12,"Active","No","No","Yes","",
"MYRA.SOCIAL",".SOCIAL","Social Domains","2026-12-20","1 Year","2026-12-20",12,"Active","No","No","Yes","",
"MYRA-QA-EXCELLENCE.DE",".DE","Germany","2027-01-16","1 Year","2027-01-16",12,"Active","No","No","Yes","",
"MYRA-QUALITY-GATE.COM",".COM","Generic","2027-01-16","1 Year","2027-01-16",12,"Active","No","No","Yes","",
"MYRA.ACADEMY",".ACADEMY","Education Domains","2027-02-15","1 Year","2027-02-15",12,"Active","No","No","Yes","",
"MYRASECURITY.EU",".EU","Europe","2026-06-08","1 Year","2026-06-08",12,"Active","No","No","Yes","",
"MYRASECURITY.ES",".ES","Spain","2026-12-23","3 Years","2026-12-23",36,"Active","No","No","Yes","",
"MYRA.GROUP",".GROUP","Social Domains","2027-03-09","1 Year","2027-03-09",12,"Active","Yes","No","Yes","",
"MYRA.GOLF",".GOLF","Sport Domains","2027-03-18","1 Year","2027-03-18",12,"Active","No","No","Yes","",
"STORIES-UNTOLD.EU",".EU","Europe","2026-11-08","1 Year","2026-11-08",12,"Active","No","No","Yes","",
"STORIESUNTOLD.EU",".EU","Europe","2026-11-08","1 Year","2026-11-08",12,"Active","No","No","Yes","",
"STORIESUNTOLD.DE",".DE","Germany","2026-11-08","1 Year","2026-11-08",12,"Active","No","No","Yes","",
"MYRACLOUD.AI",".AI","Anguilla","2026-11-26","2 Years","2026-11-26",24,"Active","No","No","Yes","",
"MYRASECURITY.AI",".AI","Anguilla","2026-11-26","2 Years","2026-11-26",24,"Active","No","No","Yes","",
"MYRASEC.AI",".AI","Anguilla","2026-11-26","2 Years","2026-11-26",24,"Active","No","No","Yes","",
"AX4Z-S.COM",".COM","Generic","2026-12-04","1 Year","2026-12-04",12,"Active","No","No","Yes","",
"MYRASPF.COM",".COM","Generic","2028-04-02","3 Years","2028-04-02",36,"Active","No","No","Yes","",
"SIND-MEINE-DATEN-SICHER.DE",".DE","Germany","2026-09-11","1 Year","2026-09-11",12,"Active","No","No","Yes","",
"WER-LIEST-MEINE-DATEN.DE",".DE","Germany","2026-09-11","1 Year","2026-09-11",12,"Active","No","No","Yes","",
"MYRA-POC.COM",".COM","Generic","2026-11-28","1 Year","2026-11-28",12,"Active","No","No","Yes","",
"MYRASEC.SE",".SE","Sweden","2027-01-09","1 Year","2027-01-09",12,"Active","No","No","Yes","",
"EUCAPTCHA.SUCKS",".SUCKS","Generic Domains","2026-12-22","1 Year","2026-12-22",12,"Active","No","No","Yes","",
"EUCAPTCHA.DK",".DK","Denmark","2026-12-21","1 Year","2026-12-21",12,"Active","No","No","Yes","",
"EUCAPTCHA.CO.UK",".CO.UK","United Kingdom","2026-12-22","1 Year","2026-12-22",12,"Active","No","No","Yes","",
"EUCAPTCHA.PL",".PL","Poland","2026-12-22","1 Year","2026-12-22",12,"Active","No","No","Yes","",
"EUCAPTCHA.NL",".NL","Netherlands","2026-12-20","1 Year","2026-12-20",12,"Active","No","No","Yes","",
"EUCAPTCHA.IT",".IT","Italy","2026-12-22","1 Year","2026-12-22",12,"Active","No","No","Yes","",
"EUCAPTCHA.ES",".ES","Spain","2026-12-15","1 Year","2026-12-15",12,"Active","No","No","Yes","",
"EUCAPTCHA.FR",".FR","France","2026-12-22","1 Year","2026-12-22",12,"Active","No","No","Yes","",
"EUCAPTCHA.CH",".CH","Switzerland","2027-01-06","1 Year","2027-01-06",12,"Active","No","No","Yes","",
"EUCAPTCHA.AT",".AT","Austria","2026-12-19","1 Year","2026-12-19",12,"Active","No","No","Yes","",
"EUCAPTCHA.DE",".DE","Germany","2026-12-22","1 Year","2026-12-22",12,"Active","No","No","Yes","",
"EUCAPTCHA.EU",".EU","Europe","2027-06-29","1 Year","2027-06-29",12,"Active","No","No","Yes","",
"EUCAPTCHA.ORG",".ORG","Generic","2026-12-22","1 Year","2026-12-22",12,"Active","No","No","Yes","",
"EUCAPTCHA.COM",".COM","Generic","2026-12-22","1 Year","2026-12-22",12,"Active","No","No","Yes","",
"EU-CA.PT",".PT","Portugal","2027-01-07","1 Year","2027-01-07",12,"Active","No","No","Yes","",
"EU-CAPT.CH",".CH","Switzerland","2027-01-06","1 Year","2027-01-06",12,"Active","No","No","Yes","",
"EU-CAPTCHA.CO.UK",".CO.UK","United Kingdom","2026-12-31","1 Year","2026-12-31",12,"Active","No","No","Yes","",
"EU-CAPTCHA.UK",".UK","United Kingdom","2026-12-31","1 Year","2026-12-31",12,"Active","No","No","Yes","",
"EU-CAPTCHA.SE",".SE","Sweden","2027-01-12","1 Year","2027-01-12",12,"Active","No","No","Yes","",
"EU-CAPTCHA.PL",".PL","Poland","2026-12-31","1 Year","2026-12-31",12,"Active","No","No","Yes","",
"EU-CAPTCHA.NL",".NL","Netherlands","2026-12-29","1 Year","2026-12-29",12,"Active","No","No","Yes","",
"EU-CAPTCHA.IT",".IT","Italy","2027-01-05","1 Year","2027-01-05",12,"Active","No","No","Yes","",
"EU-CAPTCHA.HU",".HU","Hungary","2028-01-08","2 Years","2028-01-08",24,"Active","No","No","Yes","",
"EU-CAPTCHA.FR",".FR","France","2027-01-07","1 Year","2027-01-07",12,"Active","No","No","Yes","",
"EU-CAPTCHA.ES",".ES","Spain","2026-12-24","1 Year","2026-12-24",12,"Active","No","No","Yes","",
"EU-CAPTCHA.DK",".DK","Denmark","2027-01-05","1 Year","2027-01-05",12,"Active","No","No","Yes","",
"EU-CAPTCHA.CZ",".CZ","Czech Republic","2027-01-05","1 Year","2027-01-05",12,"Active","No","No","Yes","",
"EU-CAPTCHA.CH",".CH","Switzerland","2027-01-06","1 Year","2027-01-06",12,"Active","No","No","Yes","",
"EU-CAPTCHA.AT",".AT","Austria","2026-12-28","1 Year","2026-12-28",12,"Active","No","No","Yes","",
"EU-CAPTCHA.DE",".DE","Germany","2027-01-05","1 Year","2027-01-05",12,"Active","No","No","Yes","",
"EU-CAPTCHA.INFO",".INFO","Generic","2026-12-31","1 Year","2026-12-31",12,"Active","No","No","Yes","",
"EU-CAPTCHA.ORG",".ORG","Generic","2026-12-31","1 Year","2026-12-31",12,"Active","No","No","Yes","",
"EU-CAPTCHA.NET",".NET","Generic","2026-12-31","1 Year","2026-12-31",12,"Active","No","No","Yes","",
"EU-CAPTCHA.EU",".EU","Europe","2026-12-31","1 Year","2026-12-31",12,"Active","No","No","Yes","",
"EUCA.PT",".PT","Portugal","2027-01-07","1 Year","2027-01-07",12,"Active","No","No","Yes","",
"EU-CAPTCHA.CLOUD",".CLOUD","Web Domains","2027-01-01","1 Year","2027-01-01",12,"Active","No","No","Yes","",
"EU-CAPTCHA.BLOG",".BLOG","Web Domains","2027-01-01","1 Year","2027-01-01",12,"Active","No","No","Yes","",
"EU-CAPTCHA.SUCKS",".SUCKS","Generic Domains","2027-01-01","1 Year","2027-01-01",12,"Active","No","No","Yes","",
"MYRA.CLOUD",".CLOUD","Web Domains","2027-02-05","1 Year","2027-02-05",12,"Active","No","No","Yes","",
"AX6Z.COM",".COM","Generic","2027-02-23","1 Year","2027-02-23",12,"Active","No","No","Yes","",
"MYRAPARTNER.COM",".COM","Generic","2027-03-05","1 Year","2027-03-05",12,"Active","No","No","Yes","",
